name,busmap
relation/18396881-380,AT1 0
virtual_way/103401937:1-380,AT1 0
virtual_way/1203265439:1-380,AT1 0
virtual_way/26971631:0-220,AT1 0
virtual_way/28457294:1-380,AT1 0
virtual_way/28458149:0-380,AT1 0
virtual_way/42412115:1-220,AT1 0
virtual_way/763416490:0-380,AT1 0
virtual_way/796517281:1-380,AT1 0
virtual_way/82745755:0-220,AT1 0
virtual_way/83742802:1-380,AT1 0
virtual_way/83947313:1-380,AT1 0
virtual_way/84998489:0-220,AT1 0
virtual_way/951818305:1-380,AT1 0
virtual_way/95863557:a:0-220,AT1 0
virtual_way/99720896:0-380,AT1 0
way/1047447425-220,AT1 0
way/105065132-220,AT1 0
way/1051033055-220,AT1 0
way/107248400-380,AT1 0
way/118060597-380,AT1 0
way/119489306-400,AT1 0
way/1203160522-220,AT1 0
way/134565164-380,AT1 0
way/138407040-380,AT1 0
way/145583866-220,AT1 0
way/152245073-220,AT1 0
way/156973414-220,AT1 0
way/162826525-220,AT1 0
way/180468540-220,AT1 0
way/210191809-220,AT1 0
way/24253250-220,AT1 0
way/24768685-220,AT1 0
way/27673934-380,AT1 0
way/27763479-220,AT1 0
way/27795895-220,AT1 0
way/291703253-220,AT1 0
way/30042006-380,AT1 0
way/30076588-220,AT1 0
way/318616912-380,AT1 0
way/38868243-380,AT1 0
way/50650855-220,AT1 0
way/59531071-220,AT1 0
way/603139216-220,AT1 0
way/61108302-220,AT1 0
way/636620861-380,AT1 0
way/694695942-380,AT1 0
way/727225348-220,AT1 0
way/765101679-220,AT1 0
way/81684898-380,AT1 0
way/83529203-220,AT1 0
way/83740194-380,AT1 0
way/83742801-380,AT1 0
way/84789829-220,AT1 0
way/852324809-220,AT1 0
way/86119428-220,AT1 0
way/88680218-220,AT1 0
way/89451551-220,AT1 0
way/89985993-220,AT1 0
way/93077882-220,AT1 0
way/943595603-220,AT1 0
way/95812231-220,AT1 0
way/96616299-220,AT1 0
relation/7578992-220,BE1 0
virtual_relation/10670456:0-380,BE1 0
virtual_relation/9036573:0-225,BE1 0
virtual_way/147686438:0-380,BE1 0
virtual_way/16119536:0-380,BE1 0
virtual_way/161225685:a:1-220,BE1 0
virtual_way/161469069:0-380,BE1 0
virtual_way/161479351:0-380,BE1 0
virtual_way/23141413:0-380,BE1 0
virtual_way/48520916:1-380,BE1 0
virtual_way/87772589:0-380,BE1 0
virtual_way/91752659:1-220,BE1 0
way/1001478336-220,BE1 0
way/103041283-220,BE1 0
way/114082368-220,BE1 0
way/121085952-220,BE1 0
way/124703985-380,BE1 0
way/16584741-380,BE1 0
way/19783816-380,BE1 0
way/204940265-220,BE1 0
way/23136343-380,BE1 0
way/23136868-380,BE1 0
way/23141556-220,BE1 0
way/23151789-380,BE1 0
way/23175771-380,BE1 0
way/24552827-220,BE1 0
way/32002039-380,BE1 0
way/33814632-220,BE1 0
way/495688597-380,BE1 0
way/87529551-380,BE1 0
way/87763325-380,BE1 0
way/87772591-380,BE1 0
way/87772593-380,BE1 0
way/87807194-380,BE1 0
way/88373135-380,BE1 0
way/88799384-220,BE1 0
way/91142310-220,BE1 0
way/91752661-220,BE1 0
way/92007188-220,BE1 0
way/92015823-220,BE1 0
relation/5378910-220,CH1 0
relation/7933294-380,CH1 0
relation/9310861-220,CH1 0
virtual_relation/5610122:1-220,CH1 0
virtual_relation/5610123:0-220,CH1 0
virtual_relation/5645820:1-220,CH1 0
virtual_relation/6031725:0-220,CH1 0
virtual_way/109814042:0-220,CH1 0
virtual_way/109814042:1-220,CH1 0
virtual_way/1178282957:0-220,CH1 0
virtual_way/126304086:1-220,CH1 0
virtual_way/136073350:b:1-220,CH1 0
virtual_way/141333193:0-220,CH1 0
virtual_way/141333193:1-220,CH1 0
virtual_way/141442913:1-220,CH1 0
virtual_way/141442914:0-220,CH1 0
virtual_way/148642941:1-220,CH1 0
virtual_way/163857038:a:1-380,CH1 0
virtual_way/190447888:0-220,CH1 0
virtual_way/194683262:1-220,CH1 0
virtual_way/207876772:0-220,CH1 0
virtual_way/207876772:1-220,CH1 0
virtual_way/207895374:1-380,CH1 0
virtual_way/208404332:b:1-220,CH1 0
virtual_way/208487760:1-380,CH1 0
virtual_way/208560300:1-220,CH1 0
virtual_way/209111683:1-220,CH1 0
virtual_way/209111686:1-220,CH1 0
virtual_way/209130227:1-220,CH1 0
virtual_way/209288137:1-220,CH1 0
virtual_way/209288139:0-220,CH1 0
virtual_way/209288141:1-220,CH1 0
virtual_way/209288142:1-220,CH1 0
virtual_way/209288145:0-220,CH1 0
virtual_way/240692413:0-220,CH1 0
virtual_way/253361584:1-220,CH1 0
virtual_way/365557144:1-220,CH1 0
virtual_way/406403398:1-380,CH1 0
virtual_way/43125412:0-220,CH1 0
virtual_way/43125412:1-220,CH1 0
virtual_way/461199931:1-220,CH1 0
virtual_way/81247299:b:1-220,CH1 0
virtual_way/912545951:1-220,CH1 0
virtual_way/927740824:0-220,CH1 0
virtual_way/93377768:1-220,CH1 0
virtual_way/95726659:1-220,CH1 0
virtual_way/969811243:1-220,CH1 0
way/108257952-220,CH1 0
way/109037817-220,CH1 0
way/111162936-220,CH1 0
way/11282314-220,CH1 0
way/122720993-220,CH1 0
way/127004407-380,CH1 0
way/132373704-220,CH1 0
way/1327084723-220,CH1 0
way/140873735-220,CH1 0
way/146225999-220,CH1 0
way/147557680-220,CH1 0
way/147714395-220,CH1 0
way/148015471-220,CH1 0
way/159527493-220,CH1 0
way/161853746-220,CH1 0
way/165513396-220,CH1 0
way/177392130-220,CH1 0
way/190819048-220,CH1 0
way/192677427-220,CH1 0
way/194258388-220,CH1 0
way/207993342-220,CH1 0
way/208780268-380,CH1 0
way/210568055-220,CH1 0
way/211907009-220,CH1 0
way/212722603-220,CH1 0
way/215475257-220,CH1 0
way/22899676-220,CH1 0
way/234983117-220,CH1 0
way/236819191-220,CH1 0
way/239937062-220,CH1 0
way/240575085-220,CH1 0
way/240959264-220,CH1 0
way/242269161-220,CH1 0
way/26843160-220,CH1 0
way/27107779-220,CH1 0
way/281799252-220,CH1 0
way/281800404-220,CH1 0
way/281804158-220,CH1 0
way/281809991-220,CH1 0
way/281815404-220,CH1 0
way/281822905-220,CH1 0
way/30350721-220,CH1 0
way/31308888-220,CH1 0
way/33271433-220,CH1 0
way/35002638-220,CH1 0
way/356292116-220,CH1 0
way/35840165-380,CH1 0
way/365556107-220,CH1 0
way/365590455-220,CH1 0
way/397960460-380,CH1 0
way/402053379-220,CH1 0
way/402055336-220,CH1 0
way/431234146-220,CH1 0
way/455120191-220,CH1 0
way/50319857-220,CH1 0
way/52738225-220,CH1 0
way/55695765-220,CH1 0
way/55698557-220,CH1 0
way/71500123-220,CH1 0
way/758943072-220,CH1 0
way/773893754-220,CH1 0
way/802058337-220,CH1 0
way/803903329-220,CH1 0
way/89405664-220,CH1 0
way/89977424-220,CH1 0
way/92798668-220,CH1 0
way/936521586-380,CH1 0
way/969819301-220,CH1 0
way/98648381-220,CH1 0
virtual_relation/10043727:a:1-400,CZ1 0
virtual_relation/5168027:a:1-400,CZ1 0
virtual_way/113566137:0-400,CZ1 0
virtual_way/157331464:1-380,CZ1 0
virtual_way/174150969:0-220,CZ1 0
virtual_way/28099167:1-400,CZ1 0
virtual_way/28629413:1-400,CZ1 0
virtual_way/452032530:1-400,CZ1 0
way/149306820-220,CZ1 0
way/174152948-400,CZ1 0
way/175071712-400,CZ1 0
way/197827799-220,CZ1 0
way/26143409-400,CZ1 0
way/27849030-220,CZ1 0
way/27867392-400,CZ1 0
way/28099187-220,CZ1 0
way/28268556-400,CZ1 0
way/28348269-220,CZ1 0
way/28349754-220,CZ1 0
way/28382372-400,CZ1 0
way/28457258-400,CZ1 0
way/28468576-220,CZ1 0
way/28469397-400,CZ1 0
way/28470958-400,CZ1 0
way/28475691-220,CZ1 0
way/28476742-400,CZ1 0
way/28477054-220,CZ1 0
way/28478409-400,CZ1 0
way/28478418-220,CZ1 0
way/28479110-400,CZ1 0
way/28479829-400,CZ1 0
way/28622657-220,CZ1 0
way/28622793-400,CZ1 0
way/28624004-220,CZ1 0
way/28624204-400,CZ1 0
way/28624926-400,CZ1 0
way/28625556-220,CZ1 0
way/28626812-400,CZ1 0
way/28628927-400,CZ1 0
way/693112798-400,CZ1 0
relation/17591073-220,DE1 9
virtual_relation/1109593:b:1-380,DE1 27
virtual_relation/1141616:b:1-380,DE1 10
virtual_relation/13073144:1-220,DE1 1
virtual_relation/14514424:c:1-380,DE1 11
virtual_relation/145510:b:1-380,DE1 15
virtual_relation/1641702:b:1-380,DE1 8
virtual_relation/18799873:a:0-220,DE1 9
virtual_relation/18799873:b:1-220,DE1 9
virtual_relation/2247305:c:1-220,DE1 13
virtual_relation/3697399:a:1-380,DE1 0
virtual_relation/3697399:b:1-380,DE1 0
virtual_relation/3732388:b:1-380,DE1 22
virtual_relation/3866868:1-220,DE1 23
virtual_relation/3916522:a:1-380,DE1 21
virtual_relation/3937928:0-220,DE1 2
virtual_relation/3945260:a:0-220,DE1 24
virtual_relation/445559:a:1-380,DE1 20
virtual_relation/5497488:a:1-380,DE1 7
virtual_relation/5497488:b:1-380,DE1 7
virtual_way/104359892:1-220,DE1 4
virtual_way/10630667:1-380,DE1 8
virtual_way/106498910:0-220,DE1 14
virtual_way/107153162:1-220,DE1 14
virtual_way/107175372:0-220,DE1 14
virtual_way/107175828:0-220,DE1 14
virtual_way/107175828:1-220,DE1 14
virtual_way/108374914:0-220,DE1 4
virtual_way/108388744:1-380,DE1 18
virtual_way/109083561:0-220,DE1 27
virtual_way/1104914089:0-380,DE1 0
virtual_way/1118659219:1-220,DE1 5
virtual_way/111963058:1-380,DE1 11
virtual_way/1120289993:0-380,DE1 8
virtual_way/1130668496:0-380,DE1 26
virtual_way/114377991:1-220,DE1 11
virtual_way/1151967274:0-380,DE1 7
virtual_way/115611453:1-220,DE1 27
virtual_way/1241983643:1-380,DE1 22
virtual_way/1244951664:1-380,DE1 22
virtual_way/125686889:0-220,DE1 16
virtual_way/125690615:0-220,DE1 16
virtual_way/1264466167:0-220,DE1 10
virtual_way/1336578348:0-380,DE1 0
virtual_way/1340163908:0-380,DE1 22
virtual_way/1359558141:1-380,DE1 2
virtual_way/136269731:0-220,DE1 11
virtual_way/137885048:1-220,DE1 26
virtual_way/1434798779:1-380,DE1 13
virtual_way/143855350:0-380,DE1 0
virtual_way/143901743:1-220,DE1 0
virtual_way/145129280:1-220,DE1 9
virtual_way/1451337852:0-220,DE1 17
virtual_way/1458852756:0-380,DE1 22
virtual_way/147534818:0-380,DE1 26
virtual_way/149815387:1-220,DE1 26
virtual_way/150801571:1-380,DE1 4
virtual_way/151689335:0-380,DE1 17
virtual_way/151691301:1-380,DE1 17
virtual_way/151967297:0-380,DE1 4
virtual_way/152403697:0-220,DE1 26
virtual_way/152403718:1-220,DE1 26
virtual_way/152542160:1-220,DE1 9
virtual_way/152924506:0-220,DE1 9
virtual_way/152924515:0-220,DE1 9
virtual_way/155647668:0-220,DE1 12
virtual_way/156350633:1-220,DE1 21
virtual_way/156960646:1-380,DE1 19
virtual_way/169004950:1-380,DE1 26
virtual_way/169244947:0-220,DE1 8
virtual_way/17673603:0-380,DE1 0
virtual_way/17673603:1-380,DE1 0
virtual_way/178708511:1-220,DE1 20
virtual_way/184007156:1-380,DE1 11
virtual_way/189145558:0-220,DE1 14
virtual_way/199208152:1-380,DE1 2
virtual_way/200409360:0-220,DE1 9
virtual_way/201775656:0-220,DE1 14
virtual_way/207579638:1-220,DE1 26
virtual_way/207800275:0-220,DE1 5
virtual_way/215588442:0-220,DE1 14
virtual_way/22762380:1-220,DE1 5
virtual_way/231735880:1-380,DE1 2
virtual_way/231741801:1-220,DE1 0
virtual_way/23382106:1-380,DE1 0
virtual_way/23921168:0-380,DE1 0
virtual_way/23951301:0-220,DE1 20
virtual_way/24415006:1-380,DE1 27
virtual_way/24428696:1-380,DE1 5
virtual_way/24479976:0-220,DE1 14
virtual_way/24604796:a:1-380,DE1 2
virtual_way/24605510:1-220,DE1 2
virtual_way/24686695:0-220,DE1 5
virtual_way/24959946:1-380,DE1 27
virtual_way/25088919:1-220,DE1 14
virtual_way/25091009:0-380,DE1 14
virtual_way/25209869:1-380,DE1 5
virtual_way/25788425:1-220,DE1 14
virtual_way/259468196:0-220,DE1 1
virtual_way/259468196:1-220,DE1 15
virtual_way/26186272:1-220,DE1 9
virtual_way/26472663:1-380,DE1 10
virtual_way/26660205:0-380,DE1 21
virtual_way/27044875:0-220,DE1 5
virtual_way/27092940:1-220,DE1 5
virtual_way/277828184:1-380,DE1 8
virtual_way/28156584:0-380,DE1 0
virtual_way/28434869:0-380,DE1 0
virtual_way/28434872:1-380,DE1 0
virtual_way/286319128:1-220,DE1 18
virtual_way/29252733:0-220,DE1 12
virtual_way/29287463:0-220,DE1 26
virtual_way/29472851:0-220,DE1 11
virtual_way/30419117:1-380,DE1 15
virtual_way/30859575:1-220,DE1 6
virtual_way/317999340:a:1-380,DE1 7
virtual_way/32267173:1-380,DE1 7
virtual_way/32398460:1-380,DE1 17
virtual_way/32672606:0-220,DE1 27
virtual_way/32672606:1-220,DE1 27
virtual_way/32950166:0-220,DE1 10
virtual_way/33382745:1-220,DE1 5
virtual_way/34174518:1-380,DE1 7
virtual_way/345674978:0-380,DE1 8
virtual_way/34897791:0-220,DE1 5
virtual_way/34942575:0-220,DE1 10
virtual_way/34942575:1-220,DE1 10
virtual_way/35164077:0-220,DE1 5
virtual_way/362332802:a:1-380,DE1 8
virtual_way/36258837:0-380,DE1 5
virtual_way/373086441:0-220,DE1 9
virtual_way/39676389:1-380,DE1 25
virtual_way/40692628:1-220,DE1 9
virtual_way/40854817:0-380,DE1 0
virtual_way/40854817:1-380,DE1 0
virtual_way/41232147:1-380,DE1 17
virtual_way/41334818:1-220,DE1 0
virtual_way/41374777:0-380,DE1 5
virtual_way/41460654:0-380,DE1 0
virtual_way/41642831:1-220,DE1 6
virtual_way/41931527:1-380,DE1 27
virtual_way/42389033:1-380,DE1 21
virtual_way/42472171:0-380,DE1 21
virtual_way/42508055:1-220,DE1 27
virtual_way/42509126:1-220,DE1 27
virtual_way/42809893:1-380,DE1 27
virtual_way/42861709:0-380,DE1 27
virtual_way/42920884:1-220,DE1 14
virtual_way/42920999:0-220,DE1 14
virtual_way/43201818:c:1-380,DE1 9
virtual_way/45737386:1-380,DE1 7
virtual_way/45737389:0-220,DE1 7
virtual_way/54359261:1-220,DE1 4
virtual_way/574218866:0-380,DE1 12
virtual_way/60541934:1-220,DE1 27
virtual_way/60725324:1-380,DE1 14
virtual_way/60869542:1-220,DE1 14
virtual_way/61918209:1-380,DE1 11
virtual_way/632166208:1-220,DE1 5
virtual_way/66676627:1-220,DE1 27
virtual_way/68018969:0-220,DE1 27
virtual_way/68677653:0-220,DE1 27
virtual_way/68677653:1-220,DE1 27
virtual_way/73306291:1-220,DE1 16
virtual_way/738918647:0-380,DE1 17
virtual_way/741770435:1-380,DE1 11
virtual_way/77179258:1-220,DE1 14
virtual_way/77179273:0-380,DE1 14
virtual_way/798137586:0-220,DE1 14
virtual_way/8017477:1-220,DE1 10
virtual_way/82077681:0-380,DE1 27
virtual_way/82077681:1-380,DE1 27
virtual_way/850698155:0-380,DE1 5
virtual_way/881636336:0-380,DE1 7
virtual_way/88715832:0-380,DE1 5
virtual_way/906381479:1-220,DE1 14
virtual_way/907517163:1-380,DE1 7
virtual_way/91084404:0-220,DE1 16
virtual_way/91655753:0-220,DE1 4
virtual_way/92877620:1-220,DE1 14
virtual_way/92877623:0-220,DE1 14
virtual_way/93258454:0-220,DE1 23
virtual_way/95636530:1-380,DE1 9
virtual_way/95860782:0-380,DE1 18
virtual_way/971780154:a:0-220,DE1 1
way/1011084707-220,DE1 12
way/1024536785-380,DE1 5
way/102743264-220,DE1 21
way/1040551074-220,DE1 14
way/1068350839-380,DE1 19
way/1071504343-380,DE1 7
way/1072574879-380,DE1 20
way/1076001174-220,DE1 27
way/1086825107-220,DE1 22
way/108797675-380,DE1 23
way/1089911133-380,DE1 7
way/1093896544-380,DE1 24
way/1094015892-220,DE1 15
way/109917397-380,DE1 13
way/1102237380-220,DE1 7
way/1107961833-380,DE1 7
way/1128250704-220,DE1 20
way/11285720-380,DE1 7
way/113546939-220,DE1 14
way/11500045-380,DE1 10
way/1191459479-220,DE1 7
way/1223405794-220,DE1 9
way/1245826064-380,DE1 8
way/1280178911-220,DE1 11
way/1280364402-380,DE1 7
way/1280840212-380,DE1 11
way/1280843651-380,DE1 11
way/1282733005-220,DE1 10
way/132814303-220,DE1 26
way/133342285-220,DE1 6
way/133349218-220,DE1 3
way/137602559-220,DE1 6
way/143854536-380,DE1 0
way/143903369-220,DE1 0
way/1443360811-220,DE1 23
way/145002769-380,DE1 23
way/145680894-220,DE1 4
way/1457146135-380,DE1 27
way/1457148205-380,DE1 2
way/1457398329-380,DE1 27
way/1457401987-220,DE1 26
way/1460084299-380,DE1 27
way/1462794215-380,DE1 14
way/1462796335-220,DE1 14
way/1463052734-380,DE1 17
way/1463441460-380,DE1 5
way/1463641515-220,DE1 5
way/1463642809-220,DE1 5
way/1463871347-220,DE1 14
way/1463872032-220,DE1 5
way/1463882574-380,DE1 5
way/1463920457-380,DE1 27
way/1464535491-220,DE1 5
way/1464536984-220,DE1 5
way/1464561951-380,DE1 8
way/1464801125-220,DE1 15
way/1467276102-220,DE1 9
way/147521567-380,DE1 8
way/148446247-380,DE1 23
way/149256409-380,DE1 25
way/149987048-220,DE1 9
way/151967290-220,DE1 4
way/151967291-220,DE1 4
way/152018146-220,DE1 4
way/152107815-380,DE1 9
way/152261133-220,DE1 9
way/152403632-220,DE1 26
way/152924498-220,DE1 9
way/152924508-220,DE1 9
way/156402422-220,DE1 4
way/156673636-380,DE1 17
way/156676050-220,DE1 9
way/156960655-380,DE1 17
way/157164284-220,DE1 25
way/157328339-380,DE1 19
way/157806991-380,DE1 19
way/160584794-380,DE1 26
way/167352587-220,DE1 13
way/170123812-380,DE1 10
way/172997498-220,DE1 17
way/18629425-220,DE1 6
way/198448981-380,DE1 26
way/206289192-380,DE1 11
way/207248812-220,DE1 9
way/22720647-220,DE1 7
way/22761839-220,DE1 5
way/22765517-220,DE1 5
way/22766160-220,DE1 5
way/22944791-220,DE1 14
way/22960899-380,DE1 0
way/22973052-220,DE1 10
way/23084554-220,DE1 5
way/23117075-220,DE1 13
way/23284340-220,DE1 8
way/23380800-220,DE1 14
way/234171369-380,DE1 15
way/23583867-380,DE1 7
way/23641079-220,DE1 8
way/23744346-220,DE1 20
way/23899043-380,DE1 12
way/24042358-380,DE1 8
way/24158385-220,DE1 6
way/24230738-380,DE1 2
way/24237879-220,DE1 6
way/24258096-380,DE1 12
way/24262656-220,DE1 12
way/24272339-380,DE1 12
way/24413992-380,DE1 17
way/24462317-220,DE1 14
way/24462426-220,DE1 14
way/24478889-220,DE1 14
way/24479003-220,DE1 14
way/24493551-380,DE1 20
way/24502420-380,DE1 7
way/24604789-380,DE1 2
way/24667346-220,DE1 27
way/24685992-380,DE1 8
way/24705761-220,DE1 3
way/24757392-380,DE1 3
way/24757393-380,DE1 3
way/24757833-380,DE1 3
way/24758329-380,DE1 3
way/24759324-220,DE1 6
way/24765111-220,DE1 23
way/24768051-220,DE1 6
way/24799890-220,DE1 14
way/24839976-220,DE1 5
way/24921206-220,DE1 14
way/24976300-220,DE1 16
way/25051880-220,DE1 14
way/25306752-220,DE1 18
way/25306938-380,DE1 7
way/25746125-380,DE1 25
way/25786404-220,DE1 0
way/26245195-220,DE1 6
way/26260052-380,DE1 0
way/26404600-380,DE1 18
way/26474759-380,DE1 12
way/26593929-380,DE1 5
way/266684854-380,DE1 20
way/26814283-380,DE1 0
way/26927264-380,DE1 5
way/27124619-220,DE1 7
way/27149550-220,DE1 10
way/274603394-380,DE1 15
way/274630377-220,DE1 17
way/27646106-220,DE1 7
way/27739871-220,DE1 2
way/27871140-220,DE1 5
way/27919734-220,DE1 5
way/28008024-220,DE1 7
way/28327356-380,DE1 7
way/28343121-380,DE1 12
way/28397771-220,DE1 2
way/28452784-220,DE1 27
way/28613721-380,DE1 3
way/28729619-380,DE1 10
way/28812249-220,DE1 20
way/28956649-220,DE1 22
way/289836713-380,DE1 7
way/29077623-220,DE1 14
way/29084374-380,DE1 22
way/29309786-380,DE1 17
way/29331499-220,DE1 10
way/29374542-220,DE1 5
way/29472852-220,DE1 11
way/29713902-380,DE1 1
way/30017786-220,DE1 12
way/30039908-380,DE1 10
way/30040568-380,DE1 15
way/301158539-380,DE1 7
way/30132758-380,DE1 10
way/30164703-380,DE1 19
way/30303506-380,DE1 10
way/30613895-380,DE1 24
way/30622610-220,DE1 7
way/30954714-380,DE1 10
way/31024391-220,DE1 20
way/31105067-380,DE1 24
way/31131325-380,DE1 18
way/31367936-220,DE1 18
way/31367940-220,DE1 21
way/31653753-380,DE1 23
way/31762305-220,DE1 5
way/32042992-380,DE1 11
way/32063539-380,DE1 15
way/32076853-220,DE1 20
way/32151621-220,DE1 9
way/32472806-380,DE1 27
way/32690742-380,DE1 1
way/32725957-220,DE1 9
way/32843531-220,DE1 13
way/32904794-380,DE1 2
way/32966636-220,DE1 9
way/33042984-220,DE1 12
way/33411203-220,DE1 2
way/35176751-220,DE1 7
way/358679964-380,DE1 2
way/373967500-380,DE1 26
way/37721677-380,DE1 0
way/37764852-220,DE1 2
way/38325076-380,DE1 24
way/38584673-220,DE1 14
way/38661452-380,DE1 8
way/395847307-220,DE1 26
way/39688875-220,DE1 15
way/398680313-380,DE1 10
way/409305507-220,DE1 9
way/41389594-220,DE1 18
way/414169327-380,DE1 10
way/42372159-380,DE1 8
way/42410916-220,DE1 8
way/42423415-380,DE1 5
way/42488850-380,DE1 27
way/42507488-220,DE1 27
way/42681484-380,DE1 17
way/42736239-380,DE1 0
way/42797575-380,DE1 17
way/42861703-220,DE1 27
way/43163132-380,DE1 10
way/43688805-220,DE1 0
way/442199284-380,DE1 13
way/449010725-380,DE1 7
way/460134233-220,DE1 15
way/46584363-220,DE1 9
